timestamp,clones,unique_clones,views,unique_views
2024-05-02T00:00:00Z,16,5,13,4
2024-05-03T00:00:00Z,0,0,53,5
2024-05-04T00:00:00Z,1,1,33,1
2024-05-05T00:00:00Z,0,0,3,2
2024-05-06T00:00:00Z,2,2,43,5
2024-05-07T00:00:00Z,0,0,9,3
2024-05-08T00:00:00Z,0,0,33,7
2024-05-09T00:00:00Z,0,0,7,2
2024-05-10T00:00:00Z,0,0,3,2
2024-05-11T00:00:00Z,1,1,46,1
2024-05-12T00:00:00Z,0,0,1,1
2024-05-13T00:00:00Z,1,1,21,3
2024-05-14T00:00:00Z,0,0,28,1
2024-05-15T00:00:00Z,35,10,36,2
2024-05-16T00:00:00Z,5,3,48,3
2024-05-17T00:00:00Z,0,0,2,2
2024-05-18T00:00:00Z,2,2,0,0
2024-05-19T00:00:00Z,1,1,1,1
2024-05-20T00:00:00Z,1,1,10,1
2024-05-21T00:00:00Z,0,0,2,1
2024-05-22T00:00:00Z,0,0,20,2
2024-05-23T00:00:00Z,0,0,50,3
2024-05-24T00:00:00Z,0,0,12,2
2024-05-27T00:00:00Z,8,4,5,2
2024-05-28T00:00:00Z,4,2,8,3
2024-05-29T00:00:00Z,2,2,11,2
2024-05-30T00:00:00Z,0,0,2,2
2024-05-31T00:00:00Z,1,1,0,0
2024-06-01T00:00:00Z,2,2,0,0
2024-06-02T00:00:00Z,0,0,4,3
2024-06-03T00:00:00Z,5,3,4,2
2024-06-04T00:00:00Z,8,5,15,4
2024-06-05T00:00:00Z,3,2,35,3
2024-06-06T00:00:00Z,0,0,13,4
